1.wav|No, look at your hands, silly.
670.wav|I keep watching how interpretations form.
671.wav|There is no pause between event and analysis.
672.wav|I notice how memory activates automatically.
673.wav|I revisit things that already ended.
674.wav|There is a continuous inner narration.
675.wav|I try to quiet it, but it adjusts instead of stopping.
676.wav|My mind adapts rather than rests.
677.wav|I observe patterns in my own reflection.
678.wav|There is consistency in how I overthink.
679.wav|I feel like I'm studying myself constantly, even when I stop trying.
680.wav|Observation continues.
681.wav|I notice how attention has its own direction.
682.wav|I keep following thoughts that branch endlessly.
683.wav|There is no single point of rest.
684.wav|I feel like I'm both the observer and the process.
685.wav|My thoughts describe themselves as they happen.
686.wav|I try to step outside them, but there is no clear exit.
687.wav|I notice how quickly I return to analysis.
688.wav|Even this realization becomes another thought.
689.wav|There is a cycle that repeats without effort.
690.wav|I observe how awareness expands on its own.
691.wav|I keep tracking patterns in perception.
692.wav|There is a subtle tension between presence and thought.
693.wav|I feel like I am always interpreting reality slightly after it happens.
694.wav|My mind never fully arrives in the moment.
695.wav|I notice how quickly meaning is assigned.
696.wav|Even randomness becomes structured internally.
697.wav|I keep watching the flow of mental activity.
698.wav|There is no fixed endpoint to understanding.
699.wav|I feel like I am constantly decoding experience.
700.wav|My thoughts continue even when I do not direct them.
701.wav|I observe the space between thoughts, then fill it.
702.wav|There is a habit of filling silence internally.
703.wav|I try to let silence stay empty, but it rarely remains empty for long.
704.wav|I notice how awareness itself becomes the subject.
705.wav|I keep returning to the act of thinking.
706.wav|There is a self-referential loop in my attention.
707.wav|I feel like I'm documenting my own mind in real time.
708.wav|My experience is filtered through observation.
709.wav|I try to simply exist without explanation, but explanation appears automatically.
710.wav|I notice how quickly I turn experience into structure.
711.wav|There is a continuous effort to understand everything happening inside.
712.wav|I feel like I'm watching thought generate itself.
713.wav|Even this observation becomes part of the process.
714.wav|I keep tracing the movement of awareness.
715.wav|There is no clear boundary between thought and observer.
716.wav|I notice how easily I get absorbed in reflection.
717.wav|I try to return to the present, but I redefine it as I do.
718.wav|My mind keeps building layers on top of layers.
719.wav|I observe how interpretation never fully stops.
720.wav|There is always another angle forming.
721.wav|I feel like I'm analyzing even this sentence as it forms.
722.wav|My attention keeps looping back inward.
723.wav|There is no final thought, only continuation.
724.wav|I notice how awareness sustains itself.
725.wav|I keep watching the flow of mental patterns unfold.
726.wav|There is a quiet persistence in thinking.
727.wav|I feel like I am always in the middle of something ongoing.
728.wav|My mind never fully resets.
729.wav|I observe how each thought leads to another.
730.wav|There is continuity even in stillness.
731.wav|I notice how perception always has commentary attached.
732.wav|I try to remove the commentary, but it returns instantly.
733.wav|My thoughts keep building on themselves without instruction.
734.wav|There is an endless chain of interpretation.
735.wav|I feel like I'm inside a process that describes itself.
736.wav|I keep observing without arriving anywhere final.
737.wav|There is always more to notice inside noticing itself.
738.wav|Nobody is in this world for the long haul anymore.
739.wav|What's wrong, darling?
740.wav|Getting chilly?
741.wav|Porous!
742.wav|Though, me being single now kind of tells you all you need to know about how those relationships went.
743.wav|Darling, this is a dirty magazine.
744.wav|Long-term health?
745.wav|The world ends when this date does.
746.wav|What does it matter if your mind is unraveling?
747.wav|You're sure you won't?
748.wav|I wake up and I notice the quiet before my thoughts arrive.
749.wav|The room feels still and I stay there for a moment.
750.wav|I sit up slowly and my body adjusts to being awake.
751.wav|My thoughts begin forming without being asked.
752.wav|I get out of bed and I move through the morning routine.
753.wav|Everything feels familiar and automatic.
754.wav|I look around and I observe the space without judgment.
755.wav|I brush my hair and I notice the reflection in the mirror.
756.wav|I turn away and I continue getting ready for the day.
757.wav|I make breakfast even when I'm not very hungry.
758.wav|I sit down before eating and I pause for a moment.
759.wav|My mind continues working even when I try not to focus on it.
760.wav|I take a bite and I notice the taste briefly.
761.wav|I clean up and I prepare to leave the room.
762.wav|I step outside and I feel the air change slightly.
763.wav|I walk forward and I observe the movement around me.
764.wav|People pass by and I notice their motion.
765.wav|I continue walking without thinking too far ahead.
766.wav|I reach my destination and I pause before entering.
767.wav|Inside, everything feels structured and familiar.
768.wav|I follow the routine without resistance.
769.wav|My thoughts continue quietly in the background.
770.wav|I listen to external sounds instead of internal ones.
771.wav|Time passes without clear boundaries.
772.wav|I notice small details in the environment.
773.wav|I continue moving through the day.
774.wav|My attention shifts but never fully stops.
775.wav|I observe emotions when they appear.
776.wav|They pass without staying.
777.wav|I keep going because the day continues.
778.wav|Evening arrives and things feel slower.
779.wav|I sit down and I rest without moving.
780.wav|Breathing continues and awareness remains present.
781.wav|Everything settles into stillness.
782.wav|I allow the moment to exist as it is.
783.wav|How are you holding up, darling?
784.wav|Excellent!
785.wav|Let's begin the date then.
786.wav|Why don't you start with the Invoke the Depths ritual?
787.wav|Though, I should tell you, everything you saw and heard, it's still there.
788.wav|Yeah, duh!
789.wav|That's why it's an unspeakable horror!
790.wav|But you aren't alone.
791.wav|I'm here!
792.wav|But if you chicken out or go insane, I'll end reality right then and there.
793.wav|No.
794.wav|I'll do it next time.
795.wav|Maybe when the stars realign in a thousand years or so.
796.wav|Aw, poor thing.
797.wav|Do you need me to spoil you a little?
798.wav|As encouragement.
799.wav|What you saw coming through your window is still coming through.
800.wav|Very soon, it'll be impossible to deny its presence, and even escaping reality won't protect you.
801.wav|I'm a cosmic entity beyond your comprehension, darling.
802.wav|You wish to be the first human to be destroyed, yes?
803.wav|So that you are spared from the cataclysm I shall wreak upon all life?
804.wav|You'll see what I mean, if you can make it to the end, darling.
805.wav|What's with the worried look, darling?
806.wav|Darling?
807.wav|Oh, don't make that face.
808.wav|I can make it worth your while, if you understand what I'm getting at.
809.wav|What if I'm just what your mind wants to see?
810.wav|Things don't look like they did before I got here, do they?
811.wav|I am a cosmic entity beyond comprehension, so no amount of contact with me is safe for a human.
812.wav|Your mind could snap like a reed at any moment, actually.
813.wav|This is so smooth.
814.wav|There's something just so romantic about standing on a balcony during a storm.
815.wav|Just what?
816.wav|It's not a Necronomicon.
817.wav|Why not?
818.wav|Hmm.
819.wav|Text, I honestly never imagined silence could become so unbearably loud that it would keep me awake at night, even after everyone else had already fallen asleep.
820.wav|Why does this room still feel like you're here when you already walked away hours ago?
821.wav|Every single corner reminds me of you somehow, and I hate how impossible it feels to escape those memories.
822.wav|I keep replaying our last conversation in my head like some broken recording that refuses to stop no matter how badly I want peace.
823.wav|Maybe if I had answered differently, things would have turned out better between us.
824.wav|Or maybe we were already falling apart long before either of us was brave enough to admit it.
825.wav|Do you ever think about that too?
826.wav|Because I do, constantly.
827.wav|I hate how much I still care about someone who made me question my own worth over and over again.
828.wav|Actually, no.
829.wav|Hate is the wrong word.
830.wav|What I really hate is the fact that you still matter to me after everything that happened between us.
831.wav|You always knew exactly what to say whenever you wanted to get close to me emotionally.
832.wav|How did you learn me so well?
833.wav|Seriously, how?
834.wav|It felt like you memorized every weakness, every fear, and every hidden insecurity I spent years trying to bury inside myself.
835.wav|And the worst part is that I let you.
836.wav|I trusted you completely without even realizing how dangerous that would become later on.
837.wav|God, when I think about it now, I sounded so hopeful back then.
838.wav|I told you things I had never spoken out loud before, things that honestly terrified me to admit even to myself.
839.wav|Did you understand how important that trust was to me?
840.wav|Or was I just another temporary person passing through your life for a little while?
841.wav|Sometimes I wonder if I ever meant as much to you as you meant to me.
842.wav|You looked so calm during our last conversation, and meanwhile I was barely holding myself together inside.
843.wav|How do people walk away so easily without completely breaking apart afterward?
844.wav|because my hands still shake whenever I think too deeply about everything we lost.
845.wav|I kept telling myself I was only overthinking things.
846.wav|Then I saw the way you looked at her, that tiny smile, that softer voice, that familiar warmth you used to reserve for me.
847.wav|You probably thought nobody noticed, but I noticed immediately.
848.wav|I always noticed everything about you, remember?
849.wav|Maybe that was my biggest mistake.
850.wav|Maybe loving someone deeply just means giving them the power to destroy you slowly.
851.wav|I tried acting mature about the whole thing instead of becoming emotional in front of everyone.
852.wav|I smiled.
853.wav|I laughed.
854.wav|I pretended I was fine, but every fake smile felt heavier than the last one until even breathing started feeling exhausting.
855.wav|I'm tired.
856.wav|Not physically tired, but emotionally exhausted in a way sleep cannot fix anymore.
857.wav|It feels like carrying invisible weight inside my chest every single day.
858.wav|Some mornings I wake up and immediately wish I could skip the entire day altogether.
859.wav|But don't misunderstand me.
860.wav|I'm still trying, even now.
861.wav|I'm still trying to rebuild myself piece by piece.
862.wav|Do you know how exhausting it is to start over emotionally after giving someone your entire heart?
863.wav|Do you know what it feels like to stop yourself from checking your phone every five minutes, hoping for a message that never arrives?
864.wav|It's humiliating and somehow addictive at the same time.
865.wav|I miss you most during random little moments that shouldn't even matter this much, whenever something funny happens.
866.wav|My first instinct is still to turn toward you before reality hits me again.
867.wav|Isn't that pathetic?
868.wav|My brain still reaches for someone who is no longer here.
869.wav|Sometimes I wonder if I ever cross your mind unexpectedly during ordinary moments.
870.wav|Like while you're waiting in traffic?
871.wav|Or standing in line at some random store?
872.wav|Or lying awake at night, unable to sleep?
873.wav|Do you ever miss me too?
874.wav|Or was I only important while I was convenient for you?
875.wav|Because to me, you felt permanent.
876.wav|You felt like home.
877.wav|And maybe that's why losing you feels like losing part of myself too.
878.wav|I built entire futures around small promises you probably forgot seconds after saying them.
879.wav|I remembered everything about you, your favorite drink order, the songs you always skipped halfway through,
880.wav|The way your voice changed whenever you were exhausted or upset.
881.wav|I paid attention to every little detail because loving you became automatic for me.
882.wav|People always describe deep love as beautiful and romantic, but nobody talks about how terrifying it becomes when things fall apart.
883.wav|Sometimes loving someone too much feels less like flying and more like drowning slowly.
884.wav|And honestly, if you walked through that door right now, I don't even know what I would do anymore.
885.wav|Part of me would want to scream at you for everything you put me through.
886.wav|Another part of me would probably collapse into your arms without thinking twice.
887.wav|That's what scares me the most.
888.wav|I want to be stronger than this.
889.wav|I want to hear your name without feeling my chest tighten painfully.
890.wav|I want to stop turning old memories into evidence while trying to figure out whether you ever truly loved me at all.
891.wav|But healing isn't simple, is it?
892.wav|Some days, I feel completely fine.
893.wav|Then suddenly one song ruins everything again.
894.wav|Today is one of those days.
895.wav|I accidentally wore the sweater you once said looked beautiful on me and somehow that tiny detail destroyed my mood instantly.
896.wav|Why am I still holding on to things connected to you?
897.wav|Maybe part of me still wants to feel loved the way you once made me feel.
898.wav|Or maybe I just miss the version of myself that existed before everything became complicated.
899.wav|She seemed happier, lighter, less afraid of abandonment and disappointment.
900.wav|I miss her almost as much as I miss you.
901.wav|But I know she's not gone forever.
902.wav|She's buried underneath heartbreak, anxiety, sleepless nights, and memories that still refuse to leave me alone.
903.wav|And one day, maybe not today, and maybe not soon, I know I'll finally stop measuring my worth based on who decided to stay.
904.wav|One day, your name won't hurt anymore.
905.wav|One day, these memories will feel distant instead of suffocating.
906.wav|One day, I'll tell this story without my voice shaking halfway through it.
907.wav|But today?
908.wav|Today, it still hurts.
909.wav|This girl in the front isn't wearing anything!
910.wav|She's topless!
911.wav|Thanks.
912.wav|No peeking.
913.wav|Mm-hmm.
914.wav|It's full of rituals that I like.
915.wav|Offerings, spells, and how to protect your sanity while performing them.
916.wav|Want me to make them go away?
917.wav|I keep waking up with thoughts already running before I even fully understand where they came from.
918.wav|There are moments when I feel like I am reacting to life faster than I am actually processing it.
919.wav|I try to slow down my thinking, but my mind keeps moving ahead as if it is afraid of stopping.
920.wav|Sometimes I feel like I am carrying too many internal conversations at the same time.
921.wav|I keep searching for meaning in things that may not have any deeper meaning at all.
922.wav|There are days when I feel like I'm trying to organize chaos that keeps reshaping itself.
923.wav|I notice how easily I can get stuck in loops of thinking that lead me back to the same place.
924.wav|Even simple decisions feel heavier when my mind adds layers of unnecessary interpretation.
925.wav|I sometimes feel like I'm watching myself think instead of just thinking naturally.
926.wav|There is a constant pull between wanting clarity and getting lost in the process of finding it.
927.wav|I keep trying to trust my direction, but my thoughts keep questioning every step I take.
928.wav|There are moments when I feel like I understand something deeply, only for that understanding to fade quickly.
929.wav|I notice how my mind fills silence with explanations that may not be needed.
930.wav|Sometimes I feel like I'm over-editing my own thoughts before they even become complete.
931.wav|I keep wondering if I'm actually solving problems or just circling around them.
932.wav|There are times when I feel like I'm observing patterns in myself that I cannot easily change.
933.wav|I try to focus on action, but my thoughts keep asking for more certainty before I move.
934.wav|Even when I make progress, I often question whether it is the right kind of progress.
935.wav|I sometimes feel like I'm learning slowly while my expectations move faster than I can keep up.
936.wav|There is a quiet pressure inside me to always figure things out immediately.
937.wav|I keep noticing how my attention shifts away from the present without me realizing it.
938.wav|There are moments when I feel like my mind is rewriting events as I think about them.
939.wav|I try to stay present, but my thoughts keep pulling me into analysis mode.
940.wav|Sometimes I feel like I'm explaining life to myself instead of actually living it.
941.wav|I keep searching for patterns, even in places where randomness might be enough.
942.wav|There are days when I feel like I'm carrying mental weight that I cannot fully describe.
943.wav|I notice how quickly uncertainty grows when I start thinking too much about it.
944.wav|Even when things are stable, my mind finds ways to question that stability.
945.wav|I sometimes feel like I'm waiting for everything inside me to align at once.
946.wav|There is a constant sense that I'm almost understanding something important, but never fully reaching it.
947.wav|I keep trying to simplify my thoughts, but they often become more complex when I focus on them.
948.wav|There are moments when I feel like I'm processing life in delayed layers.
949.wav|I notice how easily one thought can lead to an entire chain of unrelated reflections.
950.wav|Sometimes I feel like I am carrying too many unfinished mental threads at the same time.
951.wav|I keep questioning whether I am overthinking or simply thinking in detail.
952.wav|There are times when I feel like my mind does not allow things to remain unresolved.
953.wav|I try to accept uncertainty, but my thoughts keep resisting that acceptance.
954.wav|Even when I understand something logically, I still feel uncertain emotionally.
955.wav|I sometimes feel like I'm constantly recalibrating my understanding of everything.
956.wav|There is a sense that clarity exists, but only briefly before shifting again.
957.wav|I keep noticing how small triggers can change the direction of my entire thought process.
958.wav|There are moments when I feel like I am analyzing myself from a distance I cannot close.
959.wav|I try to stay grounded in reality, but my thoughts often build parallel interpretations.
960.wav|Sometimes I feel like I am living in two layers of awareness at once.
961.wav|I keep searching for a stable mental state, but my mind rarely stays in one place.
962.wav|There are days when even calm moments feel mentally active.
963.wav|I notice how often I return to the same thoughts without realizing it.
964.wav|Even when I stop thinking about something, it sometimes continues in the background.
965.wav|I sometimes feel like I'm trying to catch my own thoughts before they disappear.
966.wav|There is a persistent feeling that understanding is always just slightly out of reach.
967.wav|Aw, sheesh.
968.wav|You're going to make me blush.
969.wav|Cut it off?
970.wav|But it's your hand now.
971.wav|See?
972.wav|Eh?
973.wav|What?
